image,SAD,MSE,MAD,Grad,Conn
001.png,72.384137,22.821989,69.030893,26.027839,78.104953
002.png,149.651749,66.441762,142.719029,42.040008,127.865984
003.png,53.549506,29.919008,51.068788,11.617665,47.924143
004.png,192.713286,116.173144,183.785712,37.713792,151.490714
005.png,41.049455,16.794383,39.147811,37.881241,38.006973
006.png,24.359749,8.694195,23.231267,21.344428,18.982620
007.png,7.921078,1.078369,7.554129,4.617652,6.086404
008.png,72.070082,28.597312,68.731387,28.098350,71.582292
009.png,309.481106,215.104975,295.144182,38.484279,13.328184
010.png,159.870812,94.015928,152.464687,55.200398,102.907314
o_1b6adf19.png,102.930502,73.662559,98.162176,39.620412,53.775259
o_1edbc402.png,17.259741,6.354158,16.460172,23.574787,10.194529
o_2309157d.png,63.441196,18.026874,60.502239,51.305523,52.288494
o_26b16002.png,123.155267,85.064326,117.450015,47.920606,92.170192
o_28ad039c.png,119.588435,80.097328,114.048419,55.322815,85.782486
o_599b2611.png,56.355843,25.822202,53.745120,25.451631,48.831055
o_6aad0ebc.png,55.620388,29.259898,53.043736,28.902951,46.065365
o_7b1db264.png,45.574980,14.606552,43.463688,36.684129,27.836784
o_7c88f64e.png,91.220651,43.627579,86.994792,23.496926,85.568306
o_82a97798.png,42.016753,13.947583,40.070298,20.556400,37.966898
o_8e2eb72f.png,145.659682,82.391157,138.911898,66.745863,71.257263
o_8ede15d6.png,44.892898,12.149178,42.813204,40.218065,35.489263
o_97a204f5.png,10.043949,3.253065,9.578656,11.153502,8.466545
o_9dbaf589.png,61.265180,37.077636,58.427029,19.949016,46.113459
o_b596f919.png,67.980408,47.877855,64.831169,28.326728,26.763278
o_be721ca0.png,19.759973,8.686733,18.844578,17.187012,4.551114
o_c2cf00c3.png,71.806012,30.974764,68.479549,52.001304,58.933310
o_dbef692f.png,6.687482,0.498454,6.377680,2.946909,5.672078
o_f67dd514.png,13.637302,3.914082,13.005545,21.733874,6.006643
o_fee0e426.png,83.889533,32.583593,80.003293,67.299576,73.755733
