image,SAD,MSE,MAD,Grad,Conn
001.png,116.511549,61.106823,111.114072,30.159941,116.657124
002.png,194.595141,104.654062,185.580388,44.753073,147.615941
003.png,102.642431,75.951782,97.887451,22.268442,25.936992
004.png,244.989137,184.071424,233.639848,45.322447,102.753561
005.png,75.838596,36.745143,72.325321,41.136273,66.128829
006.png,131.627612,103.211203,125.529873,32.287738,39.732953
007.png,8.454894,1.172545,8.063215,4.681964,6.633149
008.png,195.951169,143.392692,186.873597,61.779352,84.327063
009.png,21.526216,5.583017,20.528999,15.917716,14.126376
010.png,162.180075,104.158624,154.666972,52.269933,93.407690
o_1b6adf19.png,121.356714,93.041055,115.734781,46.933934,54.729216
o_1edbc402.png,19.232059,8.812172,18.341121,24.956408,8.419553
o_2309157d.png,197.181514,143.180531,188.046945,71.908823,75.883184
o_26b16002.png,141.139871,104.531493,134.601470,55.603673,92.957506
o_28ad039c.png,130.029341,90.688229,124.005643,63.220978,86.088349
o_599b2611.png,108.509553,72.698408,103.482774,43.549013,57.524427
o_6aad0ebc.png,78.057290,56.017747,74.441233,33.341056,32.092055
o_7b1db264.png,142.845478,85.739675,136.228064,49.662439,90.325114
o_7c88f64e.png,138.680361,92.988328,132.255898,35.660375,77.221980
o_82a97798.png,53.391133,19.974005,50.917753,22.263873,48.857973
o_8e2eb72f.png,200.281953,146.228009,191.003755,89.191960,70.967149
o_8ede15d6.png,53.543937,17.650285,51.063478,42.272241,35.629851
o_97a204f5.png,10.145165,3.269870,9.675183,11.184633,8.585145
o_9dbaf589.png,76.345902,53.270269,72.809126,23.480135,38.263545
o_b596f919.png,77.359678,58.200959,73.775938,32.732707,22.952678
o_be721ca0.png,15.823855,5.352316,15.090804,15.973599,11.970827
o_c2cf00c3.png,127.266412,77.652909,121.370708,67.443101,78.228725
o_dbef692f.png,108.954643,80.962490,103.907245,25.032847,51.478620
o_f67dd514.png,14.712212,4.088139,14.030658,22.129097,7.197047
o_fee0e426.png,119.380259,69.541746,113.849887,84.604202,92.554631
