image,SAD,MSE,MAD,Grad,Conn
001.png,72.425196,22.853014,69.070049,26.032131,78.131198
002.png,144.772384,63.258858,138.065705,41.753143,122.567929
003.png,53.700737,30.257192,51.213014,11.523472,47.990410
004.png,188.013549,110.079842,179.303693,38.452175,147.835047
005.png,41.134259,16.968194,39.228686,37.939360,38.238894
006.png,24.335310,8.654480,23.207960,21.367178,18.909631
007.png,7.923353,1.082402,7.556298,4.635689,6.086173
008.png,72.039792,28.636619,68.702500,28.066372,71.495065
009.png,311.533835,216.140388,297.101817,38.598917,13.348847
010.png,173.689451,106.887943,165.643168,58.125808,104.142580
o_1b6adf19.png,104.136255,74.322019,99.312072,39.955034,55.220573
o_1edbc402.png,17.098259,6.252699,16.306170,23.532200,9.979125
o_2309157d.png,177.057976,126.894467,168.855645,64.926620,60.841169
o_26b16002.png,128.512192,90.911764,122.558777,52.134359,92.792824
o_28ad039c.png,119.555745,80.042717,114.017243,55.280563,85.944965
o_599b2611.png,56.356420,25.822615,53.745670,25.455834,48.831251
o_6aad0ebc.png,55.650525,29.243831,53.072477,28.909519,46.095227
o_7b1db264.png,47.502565,15.627902,45.301976,37.031675,30.189973
o_7c88f64e.png,91.200588,43.622046,86.975659,23.491908,85.548259
o_82a97798.png,41.980388,13.936934,40.035618,20.551646,37.928655
o_8e2eb72f.png,144.539988,81.692489,137.844074,66.462880,71.250600
o_8ede15d6.png,44.808992,12.100536,42.733185,40.199653,35.408965
o_97a204f5.png,10.038482,3.252106,9.573443,11.152971,8.459298
o_9dbaf589.png,61.821376,37.662435,58.957459,20.130126,45.630259
o_b596f919.png,67.979506,47.877091,64.830309,28.325549,26.762302
o_be721ca0.png,19.845000,8.744915,18.925667,17.186350,4.556875
o_c2cf00c3.png,71.551008,30.752169,68.236358,51.933707,58.718859
o_dbef692f.png,6.687306,0.498451,6.377512,2.946826,5.671929
o_f67dd514.png,13.628816,3.911453,12.997451,21.723126,6.006294
o_fee0e426.png,83.531243,32.226505,79.661601,66.913800,73.391961
