image,SAD,MSE,MAD,Grad,Conn
001.png,61.691553,43.257925,58.833650,38.950973,59.693696
002.png,35.355239,22.869209,33.717384,33.033456,11.182024
003.png,37.030408,21.361013,35.314949,12.235681,36.763986
004.png,21.038537,13.340602,20.063913,27.339324,9.280059
005.png,33.099306,21.537105,31.565958,44.779751,31.933547
006.png,17.078965,9.899018,16.287770,27.949249,9.849553
007.png,2.694792,0.480320,2.569954,2.638171,2.291337
008.png,13.543843,6.814187,12.916415,18.910567,11.040776
009.png,797.754322,665.340710,760.797807,40.027408,223.892404
010.png,48.766929,15.323606,46.507768,17.465610,42.298592
o_1b6adf19.png,2.782071,0.436266,2.653189,2.966991,2.304702
o_1edbc402.png,7.557165,3.623762,7.207074,18.641047,4.184094
o_2309157d.png,10.837247,2.046059,10.335204,14.024658,9.651024
o_26b16002.png,3.037804,0.366614,2.897076,3.108473,2.414314
o_28ad039c.png,7.863737,2.057302,7.499444,17.559774,4.950773
o_599b2611.png,4.346753,0.718744,4.145387,5.959207,3.311349
o_6aad0ebc.png,6.182863,3.217052,5.896437,11.324911,2.743722
o_7b1db264.png,16.427427,9.434444,15.666416,23.358259,4.989690
o_7c88f64e.png,3.215616,0.361857,3.066650,1.226919,2.994290
o_82a97798.png,4.969525,1.328812,4.739309,7.762838,3.445816
o_8e2eb72f.png,13.711051,1.365426,13.075877,7.710375,12.275176
o_8ede15d6.png,16.155890,4.175121,15.407458,23.083470,11.992514
o_97a204f5.png,3.259533,0.613351,3.108533,6.039145,2.348863
o_9dbaf589.png,13.324314,9.787169,12.707056,10.691140,3.396306
o_b596f919.png,5.709004,1.609555,5.444530,12.488123,4.050722
o_be721ca0.png,4.886867,1.733413,4.660479,10.043470,2.802922
o_c2cf00c3.png,18.921894,9.755570,18.045324,29.899158,8.878063
o_dbef692f.png,2.653153,0.121571,2.530244,0.897138,2.461565
o_f67dd514.png,6.888816,2.002675,6.569687,12.018955,4.711894
o_fee0e426.png,6.771529,1.468424,6.457834,10.720764,5.231408
