image,SAD,MSE,MAD,Grad,Conn
001.png,24.276961,11.908583,23.152314,41.332542,22.318584
002.png,36.091580,24.279515,34.419613,50.584324,12.934729
003.png,10.860235,3.948616,10.357127,9.399769,10.228435
004.png,68.974714,52.314571,65.779413,39.542546,26.237157
005.png,31.774427,21.372575,30.302455,45.531298,30.940569
006.png,34.892906,23.490466,33.276468,29.612947,17.099329
007.png,2.697953,0.474338,2.572968,2.611469,2.311341
008.png,15.702847,7.737464,14.975402,21.020165,13.414490
009.png,13.143043,6.437679,12.534183,14.357705,7.333353
010.png,11.437349,3.887894,10.907506,11.792159,7.093878
o_1b6adf19.png,2.680596,0.420435,2.556416,2.791087,2.205953
o_1edbc402.png,10.960757,7.022880,10.452992,20.524322,3.485682
o_2309157d.png,121.452941,107.504500,115.826551,28.469661,9.230263
o_26b16002.png,15.400192,11.839255,14.686768,24.328624,2.406275
o_28ad039c.png,11.012894,3.169632,10.502714,18.735594,8.443392
o_599b2611.png,4.596631,0.761089,4.383689,6.235182,3.537424
o_6aad0ebc.png,21.677004,15.009082,20.672802,14.369797,10.623729
o_7b1db264.png,23.693937,12.866610,22.596299,26.394794,11.853780
o_7c88f64e.png,3.265839,0.385269,3.114547,1.349239,3.029647
o_82a97798.png,6.243784,1.746586,5.954537,8.369058,4.799282
o_8e2eb72f.png,26.636369,13.887888,25.402421,16.269182,19.988110
o_8ede15d6.png,17.768635,5.016261,16.945491,28.105491,11.850333
o_97a204f5.png,3.450349,0.647555,3.290509,6.446085,2.487655
o_9dbaf589.png,17.151627,11.581149,16.357067,13.165756,7.048384
o_b596f919.png,51.269482,44.053470,48.894389,20.850018,4.428800
o_be721ca0.png,4.688639,2.062246,4.471435,12.720000,2.427467
o_c2cf00c3.png,18.726965,9.647095,17.859425,29.844118,8.589102
o_dbef692f.png,2.713910,0.131364,2.588186,1.001742,2.507012
o_f67dd514.png,6.958110,2.000529,6.635771,12.149457,4.702576
o_fee0e426.png,6.797231,1.432260,6.482345,10.612716,5.150098
