image,SAD,MSE,MAD,Grad,Conn
001.png,82.474588,65.074494,78.653897,40.718205,80.900278
002.png,30.052161,16.628239,28.659974,33.511258,11.003490
003.png,46.967361,38.620575,44.791566,13.534693,44.295149
004.png,24.067282,15.002169,22.952349,30.270851,10.329875
005.png,24.697655,13.984334,23.553519,37.758873,24.252712
006.png,16.438851,9.247250,15.677310,26.491276,10.024043
007.png,2.707714,0.494363,2.582277,2.715898,2.270329
008.png,12.990416,6.484263,12.388626,18.924012,10.497757
009.png,12.810325,5.575853,12.216878,16.543814,7.906322
010.png,10.568616,3.938236,10.079017,11.703458,6.830984
o_1b6adf19.png,3.024631,0.568120,2.884513,3.796397,2.481435
o_1edbc402.png,6.376392,2.875622,6.081001,18.747281,3.358082
o_2309157d.png,29.046957,9.953073,27.701337,19.973856,26.854188
o_26b16002.png,3.476149,0.671223,3.315114,5.314435,2.664204
o_28ad039c.png,7.517855,2.183288,7.169585,18.522460,4.841933
o_599b2611.png,4.546529,0.947604,4.335908,6.828664,3.087110
o_6aad0ebc.png,6.914412,4.087291,6.594097,12.582936,2.633471
o_7b1db264.png,11.838733,4.966808,11.290296,19.885849,5.798329
o_7c88f64e.png,3.270761,0.403137,3.119241,1.344267,3.010373
o_82a97798.png,4.750616,1.197697,4.530540,7.280686,3.321714
o_8e2eb72f.png,20.855231,3.451557,19.889099,10.964821,18.905427
o_8ede15d6.png,16.378902,4.523475,15.620138,24.442529,12.095831
o_97a204f5.png,2.986235,0.564043,2.847896,5.326461,2.088353
o_9dbaf589.png,12.601839,9.443695,12.018050,9.124738,2.771831
o_b596f919.png,5.664988,1.649944,5.402554,12.642917,3.847184
o_be721ca0.png,4.671478,1.826694,4.455069,8.670351,3.077200
o_c2cf00c3.png,19.643659,10.191310,18.733653,32.760885,9.102820
o_dbef692f.png,2.744902,0.130226,2.617743,1.055668,2.494325
o_f67dd514.png,6.870004,2.102210,6.551746,12.534196,4.688773
o_fee0e426.png,6.504435,1.372766,6.203113,9.999061,5.188118
